BSSID, First_time_seen, Last_time_seen, channel, Speed, Privacy, Cipher, Authentication, Power, N_beacons, N_IV, LAN_IP, ID-length, ESSID, Key
9E:A3:A9:BF:12:C0, 2023-07-28 09:15:47, 2023-07-28 11:50:17, 14,  65, WPA2, CCMP, PSK, -81,        9,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DE:74:30, 2023-07-28 09:17:45, 2023-07-28 09:26:13,  6,  -1, OPN, ,   , -78,        0,        6,   0.  0.  0.  0,   0, , 
00:23:EB:E3:81:F1, 2023-07-28 09:17:47, 2023-07-28 11:53:35,  1,  54, WPA2, CCMP, PSK, -72,       19,        0,   0.  0.  0.  0,   3, IKB, 
56:C5:2B:9F:84:90, 2023-07-28 09:17:49, 2023-07-28 10:27:22,  1, 360, WPA2, CCMP, PSK, -64,      317,       31,   0.  0.  0.  0,  10, OnePlus 6T, 
9A:9F:06:44:24:5B, 2023-07-28 09:17:49, 2023-07-28 10:34:01,  6,  65, WPA2, CCMP, PSK, -70,       22,        1,   0.  0.  0.  0,  21, Long Huong Galaxy M12, 
E0:D9:E3:48:FF:D2, 2023-07-28 09:17:53, 2023-07-28 10:51:37,  7,  -1, OPN, ,   ,  -1,        0,        2, 192.168. 14.235,   0, , 
12:51:07:FF:29:D6, 2023-07-28 09:17:54, 2023-07-28 11:22:37, 11, 130, WPA2, CCMP, PSK, -71,       32,        0,   0.  0.  0.  0,  20, DESKTOP-KITJO8R 5262, 
12:48:F9:CF:58:8E, 2023-07-28 09:18:06, 2023-07-28 09:18:06,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:B2:41, 2023-07-28 09:18:16, 2023-07-28 11:36:43, 48, 360, OPN, ,   , -89,        5,       23, 169.254.175.203,  12, MIREA_GUESTS, 
E8:28:C1:DC:B2:40, 2023-07-28 09:18:16, 2023-07-28 11:51:48, 48, 360, OPN, ,   , -88,        5,       89, 172. 17.203.197,  13, MIREA_HOTSPOT, 
00:26:99:F2:7A:E0, 2023-07-28 09:18:17, 2023-07-28 11:01:55,  1,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
00:23:EB:E3:81:FE, 2023-07-28 09:18:30, 2023-07-28 11:53:35, -1,  54, WPA2, CCMP, PSK, -87,       47,        0,   0.  0.  0.  0,   3, IKB, 
00:23:EB:E3:81:FD, 2023-07-28 09:18:30, 2023-07-28 11:53:35, 44,  54, WPA2, CCMP, PSK, -86,       46,       21,   0.  0.  0.  0,   4, GIVC, 
E8:28:C1:DC:B2:42, 2023-07-28 09:18:30, 2023-07-28 11:43:23, 48, 360, OPN, ,   , -87,        5,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DD:04:40, 2023-07-28 09:18:30, 2023-07-28 11:55:10, 52, 360, OPN, ,   , -84,       30,      171, 172. 17. 84.175,  13, MIREA_HOTSPOT, 
E8:28:C1:DD:04:41, 2023-07-28 09:18:30, 2023-07-28 11:55:10, 52, 360, OPN, ,   , -83,       25,      282, 172. 17. 84.175,  12, MIREA_GUESTS, 
76:E4:ED:B0:5C:9A, 2023-07-28 09:18:50, 2023-07-28 09:18:50, 13, 180, WPA2, CCMP, PSK, -64,        1,        0,   0.  0.  0.  0,  26, Инет от Путина, 
00:26:CB:AA:62:71, 2023-07-28 09:20:04, 2023-07-28 09:52:53,  1,  54, WPA2, CCMP, PSK, -70,        2,        0,   0.  0.  0.  0,   3, IKB, 
E8:28:C1:DE:47:D2, 2023-07-28 09:20:37, 2023-07-28 11:51:18,  1, 130, OPN, ,   , -71,        3,       31,   0.  0.  0.  0,  13, MIREA_HOTSPOT, 
2A:E8:A2:02:01:73, 2023-07-28 09:20:52, 2023-07-28 09:24:32, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,  13, Redmi Note 9S, 
AA:F4:3F:EE:49:0B, 2023-07-28 09:22:18, 2023-07-28 11:53:03,  1, 180, WPA2, CCMP, PSK, -39,      738,      177,   0.  0.  0.  0,  16, Redmi Note 8 Pro, 
E8:28:C1:DC:3C:92, 2023-07-28 09:22:41, 2023-07-28 10:34:52, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
56:99:98:EE:5A:4E, 2023-07-28 09:24:27, 2023-07-28 11:51:18,  1, 180, WPA2, CCMP, PSK, -69,        1,        0,   0.  0.  0.  0,  13, tementy-phone, 
02:BC:15:7E:D5:DC, 2023-07-28 09:24:46, 2023-07-28 09:24:48, 11, 130, OPN, ,   , -67,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
