BSSID, First_time_seen, Last_time_seen, channel, Speed, Privacy, Cipher, Authentication, Power, N_beacons, N_IV, LAN_IP, ID-length, ESSID, Key
E8:28:C1:DC:3C:90, 2023-07-28 11:02:58, 2023-07-28 11:02:58, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
30:B4:B8:11:C0:90, 2023-07-28 11:05:02, 2023-07-28 11:05:02,  2,  -1, WPA, ,   , -72,        0,        1,   0.  0.  0.  0,   0, , 
B6:C4:55:B5:53:24, 2023-07-28 11:05:24, 2023-07-28 11:55:11,  1, 180, WPA2, CCMP, PSK, -67,        7,        0,   0.  0.  0.  0,   7, Redmi 9, 
86:DF:BF:E4:2F:23, 2023-07-28 11:08:47, 2023-07-28 11:53:35, 11,  65, WPA2, CCMP, PSK, -70,       11,        0,   0.  0.  0.  0,  20, DESKTOP-Q7R0KRV 2433, 
00:26:99:F2:7A:EF, 2023-07-28 11:10:12, 2023-07-28 11:10:12, 44,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
02:67:F1:B0:6C:98, 2023-07-28 11:16:05, 2023-07-28 11:26:56, 11, 130, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
76:C5:A0:70:08:96, 2023-07-28 11:16:36, 2023-07-28 11:16:38,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -52,        1,        0,   0.  0.  0.  0,  11, , 
EA:7B:9B:D8:56:34, 2023-07-28 11:17:50, 2023-07-28 11:55:11,  1, 180, WPA2, CCMP, PSK, -68,        1,        0,   0.  0.  0.  0,   8, POCO C40, 
2E:FE:13:D0:96:51, 2023-07-28 11:29:35, 2023-07-28 11:30:33, 11, 180, WPA2, CCMP, PSK, -61,        2,        0,   0.  0.  0.  0,  16, Redmi Note 8 Pro, 
22:C9:7F:A9:BA:9C, 2023-07-28 11:29:49, 2023-07-28 11:30:30, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3A:70:96:C6:30:2C, 2023-07-28 11:30:10, 2023-07-28 11:51:50,  6, 130, WPA2, CCMP, PSK, -48,      145,        5,   0.  0.  0.  0,  25, iPhone (Искандер), 
02:CF:8B:87:B4:F9, 2023-07-28 11:30:11, 2023-07-28 11:30:11, 11, 130, OPN, ,   , -70,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
36:46:53:81:12:A0, 2023-07-28 11:34:22, 2023-07-28 11:55:10, 11, 180, WPA2, CCMP, PSK, -57,       82,        3,   0.  0.  0.  0,  18, GGWPRedmi Note 10S, 
92:12:38:E5:7E:1E, 2023-07-28 11:36:35, 2023-07-28 11:51:03,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:0B:B0, 2023-07-28 11:41:18, 2023-07-28 11:55:10, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
82:CD:7D:04:17:3B, 2023-07-28 11:43:49, 2023-07-28 11:43:51, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:03:32, 2023-07-28 11:47:13, 2023-07-28 11:47:13, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:54:B2, 2023-07-28 11:47:18, 2023-07-28 11:47:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:53:7A:99:98:56, 2023-07-28 11:48:14, 2023-07-28 11:48:14, 11, 130, OPN, ,   , -68,        0,        0,   0.  0.  0.  0,   7, MT_FREE, 
00:03:7F:10:17:56, 2023-07-28 11:50:23, 2023-07-28 11:50:23, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:0D:97:6B:93:DF, 2023-07-28 11:51:25, 2023-07-28 11:51:25, -1,  -1, , ,   , -64,        0,        0,   0.  0.  0.  0,   0, , 
9C:A5:13:28:D5:89, 2023-07-28 11:51:48, 2023-07-28 11:52:31, 11,  65, WPA2, CCMP, PSK, -71,        3,        0,   0.  0.  0.  0,  14, Galaxy M012063, 
E8:28:C1:DE:47:D0, 2023-07-28 11:55:11, 2023-07-28 11:55:11,  1, 130, OPN, ,   , -70,        1,        0,   0.  0.  0.  0,  12, MIREA_GUESTS, 
